na_signalech_mam_profil,o_signalech_jsem_se_poprve_dozvedel,na_signaly_chodim,na_signaly_chodim_hlavne,signaly_jsem_vyuzil_k,na_signalech_se_mi_povedlo,jsem_autorizovany,funkcionality[status][pisu],funkcionality[status][ctu],funkcionality[status][komentuji],funkcionality[sledovane_blogy][ctu],funkcionality[blogy_vyber][ctu],funkcionality[blogy_nesledovane][ctu],funkcionality[blog][komentuji],funkcionality[blog][pisu],funkcionality[fotky][prohlizim],funkcionality[fotky][vkladam],funkcionality[akce][prohlizim],funkcionality[akce][vkladam],funkcionality[zed_spolecenstvi][ctu],funkcionality[zed_spolecenstvi][pisu],funkcionality[videa][prohlizim],funkcionality[videa][vkladam],funkcionality[autorizovani][chat],jine_site[Facebook],jine_site[Twitter],jine_site[Youtube],jine_site[Instagram],jine_site[Googleplus],jine_site[Lidecz],pouzivas_dalsi_socialni_site,"Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Používám jenom Signály, jiné sociální sítě nepotřebuji]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Signály jsou pro mě nejdůležitější sociální síť]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli kamarádům, kteří na jiných sociálních sítích nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli zajímavým lidem, kteří nejsou na jiných sociálních sítích]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli něčemu, co se děje jenom tam (např. Aktivita nějakého společenství)]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli informacím, které jinde nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli blogům, které rád čtu]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem proto, že mám rád křesťanské prostředí]","Pokud jseš na Signálech (ještě) kvůli něčemu jinému, můžeš nám to prozradit tady:"," [Těší mě, když se mým kamarádům líbí můj obsah (status, fotka, blog, video)]"," [Těší mě, když se cizím lidem líbí můj obsah]"," [Těší mě, když moji kamarádi komentují můj obsah]"," [Těší mě, když cizí lidé komentují můj obsah]"," [Těší mě, když mi kamarádi píšou soukromé zprávy]"," [Těší mě, když mi cizí lidé píšou soukromé zprávy]", [Autorizovaní uživatelé jsou pro mě důvěryhodnější než neautorizovaní]," [Komunikace na Signálech mě někdy obtěžuje, nebo je mi z ní těžko]"," [Na Signálech jsem zažil/a situace, které jsou mi nepříjemné]"," [Na Signálech jsem zažil/a situace, které zažívat nechci]",na_signalech_jsem_zazil,"(Jen ti, kdo zažili nepříjemné komentáře) Komentáře mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné komentáře) [Uvažoval/a jsem, že kvůli nepříjemným komentářům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné komentáře) [Na Signálech by mělo být zakázané psát takové komentáře]","(Jen ti, kdo zažili nepříjemné komentáře) [Ti, kdo píší takové komentáře, by na Signálech vůbec neměli být]","(Jen ti, kdo zažili nepříjemné vzkazy) Vzkazy mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné vzkazy) [Uvažoval/a jsem, že kvůli nepříjemným vzkazům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné vzkazy) [Na Signálech by mělo být zakázané psát takové vzkazy]","(Jen ti, kdo zažili nepříjemné vzkazy) [Ti, kdo píší takové vzkazy, by na Signálech vůbec neměli být]",jsem,vek,studuji,(Jen žáci a studenti) Jsem žák / student,moje_nejvyssi_dosazene_vzdelani
10 let,díky propagaci na akci,několikrát za měsíc,jestli mi náhodou nepřišel vzkaz nebo jestli náhodou přeci jen někdo ze známých něco zajímavého nepublikoval,"Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Někoho ""pořádně setřít"",  Být znejistěn ohledně nauky vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,vůbec,několikrát za měsíc nebo méně,vůbec,jednou nebo několikrát týdně,vůbec,Linkedin,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,ze setrvačnosti,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,Nepříjemné komentáře od cizích lidí,"Nevěděl/a jsem, od koho jsou, Vyjadřovaly jiný názor, než mám já, Pisatel psal, že nemám pravdu, Dělaly si ze mě legraci, Urážely mě, agresivně prosazovaly svůj názor",vůbec nesouhlasím,spíše souhlasím,spíše nesouhlasím,,,,,muž,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,už si nepamatuji,několikrát za týden,"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády",ano,vůbec,denně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,denně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,,zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,,,,,,,,spíše souhlasím,spíše nesouhlasím,je mi to jedno,vůbec nesouhlasím,,,,,,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
6 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy,  Protože rád diskutuji","Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Být znejistěn ohledně nauky vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,ne,spíše nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,Kvůli maminkovské starosti i radosti,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,Nepříjemné komentáře od cizích lidí,"Pisatel psal, že nemám pravdu",spíše nesouhlasím,je mi to jedno,spíše souhlasím,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
rok nebo kratší dobu,náhodným brouzdáním na internetu,několikrát za týden,Protože rád čtu blogy,Čtení blogů,"Přečíst si článek, který mě povzbudil",ne,vůbec,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,,jednou nebo několikrát týdně,,jednou nebo několikrát týdně,jednou nebo několikrát týdně,,,ne,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,40-50,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy,  ŽMM","Čtení blogů,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Díky diskusi si rozšířit obzory",ano,vůbec,alespoň jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vícekrát za den,méně než jednou týdně,vůbec,vůbec,vůbec,vícekrát za den,,každý den,,každý den,,,vůbec nesouhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a",ano,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,vůbec,vůbec,denně,méně než jednou týdně,alespoň jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,,zcela souhlasím,spíše souhlasím,zcela souhlasím,"Kvůli společenství ŽMM, jinak je tu mrtvo a nechodila bych sem",zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
4 roky,od kamaráda,několikrát za týden,Protože rád diskutuji,Diskutování s ostatními uživateli,Díky diskusi si rozšířit obzory,ano,vůbec,alespoň jednou týdně,vůbec,vůbec,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vícekrát za den,vůbec,každý den,vůbec,vůbec,vůbec,,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,spíše souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,,,,,,,,,,žena,21-25,"ne, vzdělání mám již ukončené",,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
9 let,už si nepamatuji,několikrát za týden,ŽMM,"Psaní blogu,  Čtení blogů","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Být znejistěn ohledně nauky vlastní církve",ne,vůbec,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,,každý den,vůbec,každý den,vůbec,vůbec,vůbec,,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,vůbec nesouhlasím,"ani souhlas, ani nesouhlas",spíše nesouhlasím,"částečně ze stereotypu - když už jsem se kdysi registrovala a začala psát blog, občas se tam prostě kouknu.",spíše souhlasím,je mi to jedno,spíše souhlasím,je mi to jedno,zcela souhlasím,zcela souhlasím,je mi to jedno,spíše souhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - technický obor
6 let,od kamaráda,jednou denně,"Protože tu píšu blog,  Protože rád čtu blogy,  Protože rád čtu redakční obsah","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vícekrát za den,několikrát za měsíc nebo méně,každý den,vícekrát za den,několikrát za měsíc nebo méně,vůbec,ano,vůbec nesouhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,spíše nesouhlasím,Nepříjemné vzkazy od cizích lidí,,,,,"Byly od cizího člověka, Nevěděl/a jsem, od koho jsou",vůbec nesouhlasím,spíše nesouhlasím,je mi to jedno,žena,16-18,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",SŠ - všeobecná (gymnázium nebo obdobný typ školy),ZŠ
3 roky,náhodným brouzdáním na internetu,několikrát denně (nebo je mám otevřené celý den),"Protože rád čtu blogy,  Protože rád čtu redakční obsah,  Kvůli přehledu křesťanských akcí,  kvůli dozvídání nových informací z křesťanského světa","Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů,  poslouchání hudby","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Lépe poznat nauku vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,vícekrát za den,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,vícekrát za den,vůbec,denně,méně než jednou týdně,alespoň jednou týdně,vícekrát za den,vůbec,vícekrát za den,jednou nebo několikrát týdně,vůbec,vůbec,ne,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,Na signálech jsem kvůli křesťanskému prostředí které na jiných soc. síť. není,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,Nepříjemné vzkazy od cizích lidí,,,,,"Byly od cizího člověka, Nevěděl/a jsem, od koho jsou, byly od cizích lidí kteří chtěli, ať jim pošlu na jejich e-mail zprávu",vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,žena,16-18,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",SŠ - všeobecná (gymnázium nebo obdobný typ školy),ZŠ
rok nebo kratší dobu,od kamaráda,jednou za měsíc nebo méně,"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Protože rád čtu blogy,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Čtení redakčního obsahu,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který se mi líbil,  Lépe poznat nauku vlastní církve",ne,vůbec,méně než jednou týdně,vůbec,,,,,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,,vůbec,vůbec,vícekrát za den,vícekrát za den,vůbec,vůbec,"Viber, Messenger, WhatsUpp",vůbec nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,zcela souhlasím,,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,zcela souhlasím,je mi to jedno,zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,13-15,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",ZŠ,dokončila jsem 8 třídu
7 let,od kamaráda,několikrát za měsíc,Hledám .. domyslete si co zde tak mohu hledat,"Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku jiné církve",ne,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,každý den,vůbec,vůbec,několikrát za měsíc nebo méně,databazeknih.cz,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,"ani souhlas, ani nesouhlas",spíše nesouhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,,vůbec nesouhlasím,je mi to jedno,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
7 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Napsat článek, který četlo hodně lidí,  Napsat článek, pod kterým se rozhořela diskuse,  Díky diskusi si rozšířit obzory,  Psát si se svými kamarády",ano,denně,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,vícekrát za den,každý den,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,,spíše nesouhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,spíše souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,spíše nesouhlasím,vůbec nesouhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí",,spíše souhlasím,zcela souhlasím,spíše nesouhlasím,Urážely mě,spíše souhlasím,zcela souhlasím,zcela souhlasím,žena,40-50,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
8 let,už si nepamatuji,jednou denně,Protože rád čtu blogy,"Čtení blogů,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Najít bloggera, kterého od té doby rád/a čtu,  Být znejistěn ohledně nauky vlastní církve,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,vůbec,méně než jednou týdně,vůbec,denně,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,každý den,vůbec,vůbec,,"ani souhlas, ani nesouhlas",vůbec nesouhlasím,"ani souhlas, ani nesouhlas",vůbec nesouhlasím,spíše nesouhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,25-30,,,VŠ - humanitní obor
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Protože rád čtu blogy,  spolupráce na propagaci CSM","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Psát si se svými kamarády",ano,vůbec,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,vůbec,vůbec,denně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vícekrát za den,několikrát za měsíc nebo méně,jednou nebo několikrát týdně,několikrát za měsíc nebo méně,vůbec,vůbec,,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Byly od kamaráda, Byly od cizího člověka, Urážely mě",spíše nesouhlasím,spíše souhlasím,spíše souhlasím,"Byly od cizího člověka, Dělaly si ze mě legraci, Urážely mě",spíše nesouhlasím,spíše souhlasím,spíše souhlasím,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
rok nebo kratší dobu,náhodným brouzdáním na internetu,několikrát za týden,"Protože rád čtu blogy,  Protože rád čtu redakční obsah,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Čtení redakčního obsahu","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a",ne,vůbec,vůbec,,vůbec,vůbec,vůbec,,,,,,,,,vůbec,,,vícekrát za den,vůbec,vícekrát za den,vůbec,vůbec,vůbec,,vůbec nesouhlasím,spíše nesouhlasím,,,,zcela souhlasím,zcela souhlasím,zcela souhlasím,,,,,,,,,,,,,,,,,,,,,muž,16-18,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",SŠ - všeobecná (gymnázium nebo obdobný typ školy),ZŠ
4 roky,náhodným brouzdáním na internetu,několikrát za týden,"Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít nové kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,denně,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vícekrát za den,jednou nebo několikrát týdně,,vícekrát za den,vůbec,vůbec,ne,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,zcela souhlasím,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,13-15,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)","SŠ - s odborným zaměřením (průmyslová, obchodní apod.)",ZŠ
